id,Title,tags
3693,Joint Security Area,"after a shoot incid at the north/south korean border/dmz leav 2 north korean soldier dead, a neutral swiss/swedish team investigates, what actual happened. war drama thriller action"
3694,The Ghost and the Darkness,"sir robert beaumont is behind schedul on a railroad in africa. enlist note engin john henri patterson to right the ship, beaumont expect results. everyth seem great until the crew discov the mutil corps of the project' foreman, seemingli kill by a lion. after sever more attacks, patterson call in fame hunter charl remington, who ha final met hi match in the bloodthirsti lions. adventur horror"
3695,Sweet November,"nelson is a man devot to hi advertis career in san francisco. one day, while take a drive test at the dmv, he meet sara. she is veri differ from the other women in hi life. nelson caus her to miss out on take the test and later that day she track him down. one thing lead to anoth and nelson end up live with her through a novemb that will chang hi life forever. drama romanc"
3696,Loving Vincent,a young man come to the last hometown of painter vincent van gogh to deliv the troubl artist' final letter and end up investig hi final day there. anim drama mysteri histori
3697,Best Sellers,"a cranky, retir author reluctantli embark on a final book tour to help out a young publisher. comedi drama"
3698,Field of Dreams,"ray kinsella is an iowa farmer who hear a mysteri voic tell him to turn hi cornfield into a basebal diamond. he does, but the voice' direct don't stop -- even after the spirit of deceas ballplay turn up to play. drama fantasi"
3699,The Raffle,"francesca, an incred beauti woman, after the death of her husband discov hi unfaith and huge amount of debt he left. cesar is francesca' best friend, he is a solicitor. follow hi advic francesca start sell all her goods, like the house, jewels, fur and final also the yacht. by do thi she is abl to surviv for the rest of the year, but ha no prospect for the futur and everi attempt to get a job fails. final she make a decis to set up a lotteri in which the prize is her. drama"
3700,Three Days of the Condor,"a bookish cia research find all hi co-work dead, and must outwit those respons until he figur out who he can realli trust. thriller mysteri adventur"
3701,Tag,"femal high school students, includ mitsuko, keiko and izumi, becom the target of ghost with variou appear includ a groom with a pig' face and femal teacher with a machin gun. thriller comedi action"
3702,Dark Water,a woman in the midst of an unpleas divorc move to an eeri apart build with her young daughter. the ceil of their apart ha a dark and activ leak. horror thriller mysteri
3703,Redbad,"in the year of 754 ad, dure a time of epic battl and bloodshed, the legend of the pagan warrior king, rebad, is born, but so is a new weapon against hi people: christianity. redbad must ultim unit a vike armi power enough to defeat the seemingli invinc franks. adventur histori war drama"
3704,Archive,"2038: georg almor is work on a true human-equival ai, and hi latest prototyp is almost ready. thi sensit phase is also the riskiest as he ha a goal that must be hidden at all costsâ€”b reunit with hi dead wife. sciencefict drama fantasi thriller"
3705,Resident Evil: Keeper's Diary,a research in umbrella lab leav behind a disturb video diary. horror
3706,The Right Stuff,"a chronicl of the origin mercuri astronaut in the format of america' space program: alan shepherd, the first american in space; gu grissom, the benight astronaut for whom noth work out as planned; john glenn, the straight-arrow 'boy scout' of the bunch who wa the first american to orbit the earth; and the remain pilots: deke slayton, scott carpenter, walli schirra, and gordon cooper. drama histori"
3707,A Night to Remember,"the sink of the titan is present in a highli realist fashion in thi tens british drama. the disast is portray larg from the perspect of the ocean liner' second officer, charl lightoller. despit numer warn about ice, the ship sail on, with capt. edward john smith keep it go at a steadi clip. when the doom vessel final hit an iceberg, the crew and passeng discov that they lack enough lifeboats, and tragedi follows. drama action histori"
3708,Lake Placid 2,"man-eat crocodil return to the lake as two male and one aggress femal crocodile, which is protect her nest, wreak havoc on the locals. horror sciencefict"
3709,Shiva Baby,"colleg student daniel must cover her track when she unexpectedli run into her sugar daddi at a shiva - with her parents, ex-girlfriend and famili friend also in attendance. comedi drama"
3710,A Nightmare on Elm Street 3: Dream Warriors,"it' been mani year sinc freddi krueger' first victim, nancy, came face-to-fac with freddi and hi sadistic, evil ways. now, nancy' all grown up; she' put her frighten nightmar behind her and is help teen cope with their dreams. too bad freddy' decid to herald hi return by invad the kids' dream and scare them into commit suicide. horror thriller"
3711,Bad Cat,a foul-mouth cat and it gang cross path with humans. comedi anim action
3712,Cold Prey,"eirik and hi girlfriend, jannicke, join newli coupl mikael and ingunn, along with singl wisecrack morten, on a snowboard excurs to a remot mountain region in norway. when morten break hi leg, however, and requir medic attention, the friend take shelter in an abandon nearbi ski lodge. littl do they know it also harbour a psychopath killer. horror mysteri thriller"
3713,A Fantastic Woman,"marina' life is thrown into turmoil follow the death of her partner. mourn the loss of the man she loved, she find herself under intens scrutini from those with no regard for her privacy. drama"
3714,Naked Killer,a young woman is train by a martial art specialist to becom a profession assassin. action crime romanc
3715,Shark Bait,"after lose everything, a young fish, pi, goe to live with hi famili on the reef. there he meet the love of hi life but find that she alreadi ha the unwant affect of a bulli shark. he must follow hi destini to save her and rid the reef of thi menac for good. anim famili"
3716,Meatballs,"tripper is the head counselor at a budget summer camp call camp northstar. in truth, he' young at heart and onli margin more matur than the camper themselves. tripper befriend rudy, a loner camper who ha troubl fit in. as tripper inspir hi young charg to defeat rival camp mohawk in the annual olympiad competition, rudi play matchmak between tripper and roxanne, a femal counselor at northstar. comedi"
